source,url,source_record_id,reason,notes
edmunds_forum,https://forums.edmunds.com/discussion/5593/hyundai/santa-fe/hyundai-santa-fe-new-owners/p3,edmunds:5593/p3:post_2007-05,generation_incompatible,"First-person Santa Fe/Grand Cherokee and Santa Fe/XC90 comparisons are 2007-era; current graph scope treats Santa Fe as contemporary 2026 and does not support mixing this generation."
edmunds_forum,https://forums.edmunds.com/discussion/8789/hyundai/santa-fe/hyundai-santa-fe-2007/p14,edmunds:8789/p14:post_2006-07,generation_incompatible,"First-person 2000 Grand Cherokee versus 2007 Santa Fe seat comparison is historical and outside the current generation scope."
edmunds_forum,https://forums.edmunds.com/discussion/6916/general/journey/crossover-suv-comparison/p96,edmunds:6916/p96:post_2008-01,generation_incompatible,"X5/RX overall ranking is a 2008-era comparison and not compatible with contemporary graph generations."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/advice-needed-potential-purchase-2021-2-3explorer-known-issues-etc.385895/,bitog:385895#14,axis_not_comfort,"2022 Explorer versus Palisade passage says athletic versus mushy; this is handling preference, not an explicit comfort/ride-compliance winner."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/purchased-a-2021-jeep-grand-cherokee.335038/,bitog:335038#1,missing comfort-axis winner,"Owner compares equipment/price and prior Santa Fe but gives no ride, seats, NVH, long-trip, or overall comfort judgment."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/the-new-2024-hyundai-santa-fe-is-the-bomb.382142/page-4,bitog:382142#63,not_a_cross_model_comparison,"2023 Santa Fe owner says it is comfortable and quiet but does not identify another SUV winner."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/used-luxury-crossovers-rx300-330-vs-xc90.236703/,bitog:236703#9,unsupported_comparison,"RX owner praises road trips and ride but does not provide a directional first-hand RX-versus-XC90 comfort judgment."
edmunds_forum,https://forums.edmunds.com/discussion/8789/hyundai/santa-fe/hyundai-santa-fe-2007/p13,edmunds:8789/p13:post_2006-07,not_first_hand_both,"A test-drive post praises Santa Fe ride, but comparison to Jeep is a reply/opinion without direct Jeep drive evidence."
edmunds_forum,https://forums.edmunds.com/discussion/720/mercedes-benz/mdx/volvo-xc90-vs-mb-m-class-vs-acura-rx-350-vs-bmw-x5-vs-cadillac-srx/p12,edmunds:720/p12:post_2003-04,generation_context_residual,"Useful XC90-versus-X5 ride passage, but model years and direct test-drive context are not stated; retained for future review rather than included."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/considering-a-small-suv.401965/page-2,bitog:401965#40,evidence_not_classifiable,"Household bought a CR-V and directly compared rear-seat fit with CX-5 and RAV4, but the post does not establish a test drive or another existing first-hand evidence category."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/big-mid-sized-suv-knowledge.366632/page-7,bobistheoilguy:366632#post134,noncanonical_model,"First-hand Traverse-versus-Grand Cherokee L seat comparison is otherwise usable, but Chevrolet Traverse is not in the canonical model map."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/5-000-miles-review-of-new-to-me-2018-toyota-sequoia.391707/page-3,bobistheoilguy:391707#post7260841,generation_drift,"Detailed owned-both seat and long-trip winners identify a 2013 BMW X5 35d versus 2018 Toyota Sequoia in direct reply context; both predate the contemporary graph generations."
bobistheoilguy,https://bobistheoilguy.com/forums/threads/best-road-trip-vehicle.394784/page-2,bobistheoilguy:394784#post7222891,generation_drift,"Owner calls the X5 their best road-trip vehicle over a later Atlas, but a same-author direct comparison identifies that X5 as a 2013 35d; not mixed into the contemporary X5 node."
